id,type,state,state_reason,title,body,author,created_at,assignees,updated_at,closed_at,url,labels,comments_list,comment_thread
2830505606,issue,open,,MySQL connections fail due to SQLite specific config in DbConfig,"I have set up a MySQL database using `systemctl start mysql` and it all works. The host and port are ""localhost"" and 3306 respectively with username ""root"".

I have filled these credentials in the `config.py` file as well and changed the `engine` parameter to `mysql`. 

Firstly I think the docstring for those functions are not updated because it calls for renaming of variables that are no longer present, but from what I figured the `name` under the `DbConfig` class refers to the database name.

Given all these, I am still unable to connect to the server. The following seem to be the issue:

1. The create_engine() command is not working because the interpreter never crosses that line of code (found through debug statements).
2. The database name passed to the mysql server is `.data/nettacker.db` which is invalid for MySQL databases and only works for SQLite. So the command CREATE DATABASE path/to/.data/nettacker.db gives an error.

The default config for DbConfig class is sqlite and that requires the nettacker.db file which is why the product works if no one tries to change the DbConfig.

Proposed solution:

1. Update the docstring for the DbConfig class
2. Use pymysql as a bridge to allow direct SQL connections and queries in the `mysql.py` file
3. Update the `db.py` file to allow both MySQL and SQLite
4. Increase the max connections for the server (user/admin has to do this)

I have tried these locally and they seem to work well. Let me know if you want me to push these changes for you to review.
",pUrGe12,2025-02-04 14:54:00+00:00,[],2025-02-05 04:28:32+00:00,,https://github.com/OWASP/Nettacker/issues/999,[],[],
2799894470,issue,open,,test coverage for `api/core.py`,"
![Image](https://github.com/user-attachments/assets/c60fbbe4-776f-4fcf-8e3e-e21d2f4c03e8)",nitinawari,2025-01-20 16:54:41+00:00,[],2025-01-20 16:58:46+00:00,,https://github.com/OWASP/Nettacker/issues/991,[],"[{'comment_id': 2602901137, 'issue_id': 2799894470, 'author': 'nitinawari', 'body': '@securestep9  @arkid15r  As we discussed\n https://owasp.slack.com/archives/CQZGG24FQ/p1737386183948039?thread_ts=1737386125.616669&cid=CQZGG24FQ', 'created_at': datetime.datetime(2025, 1, 20, 16, 58, 24, tzinfo=datetime.timezone.utc)}]","nitinawari (Issue Creator) on (2025-01-20 16:58:24 UTC): @securestep9  @arkid15r  As we discussed
 https://owasp.slack.com/archives/CQZGG24FQ/p1737386183948039?thread_ts=1737386125.616669&cid=CQZGG24FQ

"
2791467437,issue,closed,completed,Migrate CI/CD to ubuntu-24.04,"Migrate CI/CD to ubuntu-24.04 runners (soon will be ubuntu-latest for everyone).

There are particular compatibility issues with docker image tests for [these versions](https://github.com/OWASP/Nettacker/blob/1463af88bcce5dbe5c9ae9bd466306141f464592/.github/workflows/ci_cd.yml#L213):
  - `24.0.6-1~ubuntu.22.04~jammy`
  - `23.0.6-1~ubuntu.22.04~jammy`
  - `20.10.13~3-0~ubuntu-jammy`

It seems the newer [distro](https://download.docker.com/linux/ubuntu/dists/noble/pool/stable/amd64/) has 26 and 27 version (as for now). 

I expect it be the only problematic step and everything else should migrate smoothly
",arkid15r,2025-01-16 01:41:03+00:00,['nitinawari'],2025-01-22 06:41:07+00:00,2025-01-22 06:41:07+00:00,https://github.com/OWASP/Nettacker/issues/990,[],"[{'comment_id': 2601971376, 'issue_id': 2791467437, 'author': 'nitinawari', 'body': '/assign', 'created_at': datetime.datetime(2025, 1, 20, 10, 8, 48, tzinfo=datetime.timezone.utc)}]","nitinawari (Assginee) on (2025-01-20 10:08:48 UTC): /assign

"
2768927578,issue,closed,not_planned,Nettacher,,Jdarteaga,2025-01-04 17:06:38+00:00,[],2025-01-06 18:27:55+00:00,2025-01-06 18:27:55+00:00,https://github.com/OWASP/Nettacker/issues/987,"[('spam', '')]",[],
2763415073,issue,open,,Can't install Nettacker if Python interpreter is 3.13.1,"Please describe the issue or question and share your OS and Python version.
_________________
**OS**: `Fedora`
**OS Version**: `41`
**Python Version**: `3.13.1`

I get this error after running _pipx install nettacker_ (as regular user)

_Some possibly relevant errors from pip install:
    ERROR: Ignored the following versions that require a different python version: 0.3.1a10 Requires-Python >=3.9,<3.13; 0.3.1a11 Requires-Python >=3.9,<3.13; 0.3.1a12 Requires-Python >=3.9,<3.13; 0.3.1a13 Requires-Python >=3.9,<3.13; 0.3.1a15 Requires-Python >=3.9,<3.13; 0.3.1a16 Requires-Python >=3.9,<3.13; 0.3.1a17 Requires-Python >=3.9,<3.13; 0.3.1a2 Requires-Python >=3.9,<3.13; 0.3.1a3 Requires-Python >=3.9,<3.13; 0.3.1a4 Requires-Python >=3.9,<3.13; 0.3.1a5 Requires-Python >=3.9,<3.13; 0.3.1a6 Requires-Python >=3.9,<3.13; 0.3.1a7 Requires-Python >=3.9,<3.13; 0.3.1a8 Requires-Python >=3.9,<3.13; 0.3.1a9 Requires-Python >=3.9,<3.13; 0.4.0 Requires-Python <3.13,>=3.9
    ERROR: Could not find a version that satisfies the requirement nettacker (from versions: none)
    ERROR: No matching distribution found for nettacker_



",q2dg,2024-12-30 16:10:16+00:00,[],2024-12-31 11:07:27+00:00,,https://github.com/OWASP/Nettacker/issues/986,"[('compatibility issue', ''), ('answered', '')]","[{'comment_id': 2566353074, 'issue_id': 2763415073, 'author': 'securestep9', 'body': 'Hi @q2dg it is a known issue - Nettacker is currently not compatible with Python 3.13\r\n\r\nPlease use an older version of Python e.g. 3.12.6  or 3.11.11 (you can run several versions. of Python in parallel using something like pyenv) or use the Docker version.', 'created_at': datetime.datetime(2024, 12, 31, 11, 6, 54, tzinfo=datetime.timezone.utc)}]","securestep9 on (2024-12-31 11:06:54 UTC): Hi @q2dg it is a known issue - Nettacker is currently not compatible with Python 3.13

Please use an older version of Python e.g. 3.12.6  or 3.11.11 (you can run several versions. of Python in parallel using something like pyenv) or use the Docker version.

"
2559713302,issue,open,,Refactor the code to make sure os path related logic is OS agnostic,Make the code expecting Unix/Linux paths OS-independent.,arkid15r,2024-10-01 16:29:49+00:00,['winters0x64'],2025-02-05 19:49:47+00:00,,https://github.com/OWASP/Nettacker/issues/933,"[('good first issue', '')]","[{'comment_id': 2525261602, 'issue_id': 2559713302, 'author': 'winters0x64', 'body': ""Hi, I'd like to work on this issue, could you assign it to me?"", 'created_at': datetime.datetime(2024, 12, 7, 17, 57, 15, tzinfo=datetime.timezone.utc)}, {'comment_id': 2553950919, 'issue_id': 2559713302, 'author': 'bhagyashree980', 'body': 'Hi @arkid15r ,\r\n\r\nI noticed that issue #933: Refactor the code to make sure os path related logic is OS agnostic #933 is currently assigned but hasn’t had any recent activity in the last two weeks. I’m eager to contribute and would love to help move this forward.\r\nIf the current assignee is unavailable or needs assistance, I would be happy to take over or collaborate to resolve this issue promptly. Please let me know how I can assist.\r\nLooking forward to your response!', 'created_at': datetime.datetime(2024, 12, 19, 13, 23, 30, tzinfo=datetime.timezone.utc)}, {'comment_id': 2553964542, 'issue_id': 2559713302, 'author': 'winters0x64', 'body': ""I'm still working on this, just wanted to make sure everything is working before i send the final PR."", 'created_at': datetime.datetime(2024, 12, 19, 13, 26, 3, tzinfo=datetime.timezone.utc)}, {'comment_id': 2553988124, 'issue_id': 2559713302, 'author': 'bhagyashree980', 'body': '@winters0x64 Thank you for your update', 'created_at': datetime.datetime(2024, 12, 19, 13, 30, 24, tzinfo=datetime.timezone.utc)}, {'comment_id': 2554459249, 'issue_id': 2559713302, 'author': 'winters0x64', 'body': ""@bhagyashree980 , appreciate you looking into this, I was occupied with implementing some security checks, that's why this got delayed. If you want to contribute you can try to improve the nettacker engine part, I'll  be looking at that after this maybe we can collaborate on that."", 'created_at': datetime.datetime(2024, 12, 19, 14, 58, 6, tzinfo=datetime.timezone.utc)}, {'comment_id': 2554979028, 'issue_id': 2559713302, 'author': 'bhagyashree980', 'body': ""Hi @winters0x64 ,\r\nThank you for the update and for sharing the context. I understand how implementing security checks can take priority. I appreciate the suggestion to look into improving the Nettacker engine part—I'll start exploring it right away."", 'created_at': datetime.datetime(2024, 12, 19, 16, 35, 40, tzinfo=datetime.timezone.utc)}, {'comment_id': 2622536056, 'issue_id': 2559713302, 'author': 'vishakha-mali', 'body': ""It's been a month for the previous user,Can I get the chance?"", 'created_at': datetime.datetime(2025, 1, 29, 18, 38, 57, tzinfo=datetime.timezone.utc)}, {'comment_id': 2622565540, 'issue_id': 2559713302, 'author': 'winters0x64', 'body': ""@vishakha-mali , I appreciate your interest in the issue but I'm still resolving this issue with @arkid15r , my PR is almost complete, just testing all the edge cases that might arise due to cross platform compatibility issues."", 'created_at': datetime.datetime(2025, 1, 29, 18, 51, 39, tzinfo=datetime.timezone.utc)}, {'comment_id': 2622625658, 'issue_id': 2559713302, 'author': 'vishakha-mali', 'body': 'Yeah sure, I thought you were not active.I just wanted to give a try as I am a beginner.', 'created_at': datetime.datetime(2025, 1, 29, 19, 19, 2, tzinfo=datetime.timezone.utc)}, {'comment_id': 2622640492, 'issue_id': 2559713302, 'author': 'winters0x64', 'body': ""@vishakha-mali , I encourage you to still try to fix this issue, collective efforts make the project better, you'll also learn a lot. Feel free to ask any doubts if you have I'd be happy to help, all the best :)"", 'created_at': datetime.datetime(2025, 1, 29, 19, 25, 13, tzinfo=datetime.timezone.utc)}, {'comment_id': 2629990813, 'issue_id': 2559713302, 'author': 'pUrGe12', 'body': ""@winters0x64 are you planning to migrate the dockerfile to also work on windows or only the paths? Cause I had tried running this on my windows machine a few days back and with a some changes it works well, so lemme know what you're planning and we can work on this together?"", 'created_at': datetime.datetime(2025, 2, 3, 5, 20, 35, tzinfo=datetime.timezone.utc)}, {'comment_id': 2637885291, 'issue_id': 2559713302, 'author': 'winters0x64', 'body': ""@pUrGe12 I was not planning to migrate the Dockerfile to support windows as well, only going for the paths right now,  afaik it'll work on windows machine right now but if it affects upgradeability, as in future the path could become an issue so its better to use the proper paths for the respective OS. Sure we can work on this togethter, hmu."", 'created_at': datetime.datetime(2025, 2, 5, 19, 49, 46, tzinfo=datetime.timezone.utc)}]","winters0x64 (Assginee) on (2024-12-07 17:57:15 UTC): Hi, I'd like to work on this issue, could you assign it to me?

bhagyashree980 on (2024-12-19 13:23:30 UTC): Hi @arkid15r ,

I noticed that issue #933: Refactor the code to make sure os path related logic is OS agnostic #933 is currently assigned but hasn’t had any recent activity in the last two weeks. I’m eager to contribute and would love to help move this forward.
If the current assignee is unavailable or needs assistance, I would be happy to take over or collaborate to resolve this issue promptly. Please let me know how I can assist.
Looking forward to your response!

winters0x64 (Assginee) on (2024-12-19 13:26:03 UTC): I'm still working on this, just wanted to make sure everything is working before i send the final PR.

bhagyashree980 on (2024-12-19 13:30:24 UTC): @winters0x64 Thank you for your update

winters0x64 (Assginee) on (2024-12-19 14:58:06 UTC): @bhagyashree980 , appreciate you looking into this, I was occupied with implementing some security checks, that's why this got delayed. If you want to contribute you can try to improve the nettacker engine part, I'll  be looking at that after this maybe we can collaborate on that.

bhagyashree980 on (2024-12-19 16:35:40 UTC): Hi @winters0x64 ,
Thank you for the update and for sharing the context. I understand how implementing security checks can take priority. I appreciate the suggestion to look into improving the Nettacker engine part—I'll start exploring it right away.

vishakha-mali on (2025-01-29 18:38:57 UTC): It's been a month for the previous user,Can I get the chance?

winters0x64 (Assginee) on (2025-01-29 18:51:39 UTC): @vishakha-mali , I appreciate your interest in the issue but I'm still resolving this issue with @arkid15r , my PR is almost complete, just testing all the edge cases that might arise due to cross platform compatibility issues.

vishakha-mali on (2025-01-29 19:19:02 UTC): Yeah sure, I thought you were not active.I just wanted to give a try as I am a beginner.

winters0x64 (Assginee) on (2025-01-29 19:25:13 UTC): @vishakha-mali , I encourage you to still try to fix this issue, collective efforts make the project better, you'll also learn a lot. Feel free to ask any doubts if you have I'd be happy to help, all the best :)

pUrGe12 on (2025-02-03 05:20:35 UTC): @winters0x64 are you planning to migrate the dockerfile to also work on windows or only the paths? Cause I had tried running this on my windows machine a few days back and with a some changes it works well, so lemme know what you're planning and we can work on this together?

winters0x64 (Assginee) on (2025-02-05 19:49:46 UTC): @pUrGe12 I was not planning to migrate the Dockerfile to support windows as well, only going for the paths right now,  afaik it'll work on windows machine right now but if it affects upgradeability, as in future the path could become an issue so its better to use the proper paths for the respective OS. Sure we can work on this togethter, hmu.

"
2532396951,issue,open,,Translations needed for comparison functionality messages,"We are looking for contributors to help translate the following scan-comparison-related messages into various languages. If you are a native speaker of any of the languages listed below, please consider contributing a translation for the following messages(no Google Translate please, only native speaker translations):

```
compare_report_path_filename: ""the file-path to store the compare_scan report""
no_scan_to_compare: ""the scan_id to be compared not found""
compare_report_saved: ""compare results saved in {0}""
build_compare_report: ""building compare report""
finish_build_report: ""Finished building compare report""

```

Languages needed:

~~Arabic (ar.yaml)~~
Bengali (bn.yaml)
German (de.yaml)
Greek (el.yaml)
Spanish (es.yaml)
Persian (fa.yaml)
French (fr.yaml)
~~Hindi (hi.yaml)~~
Armenian (hy.yaml)
Indonesian (id.yaml)
Italian (it.yaml)
Hebrew (iw.yaml)
Japanese (ja.yaml)
Korean (ko.yaml)
Dutch (nl.yaml)
Pashto (ps.yaml)
Portuguese (Brazil) (pt-br.yaml)
Russian (ru.yaml)
Turkish (tr.yaml)
Urdu (ur.yaml)
Vietnamese (vi.yaml)
Chinese (Simplified) (zh-cn.yaml)

These YAML files are located here: https://github.com/OWASP/Nettacker/tree/master/nettacker/locale
Feel free to submit a pull request with your translations. Thank you for your contributions!

",securestep9,2024-09-17 23:48:24+00:00,[],2025-02-06 00:44:23+00:00,,https://github.com/OWASP/Nettacker/issues/905,"[('good first issue', ''), ('l10n', '')]","[{'comment_id': 2384648857, 'issue_id': 2532396951, 'author': 'tadash10', 'body': ""hi ! I'm a native Spanish speaker .Do I make a pull request with the translation I already made? Do I have to take any precautions? Thank you!"", 'created_at': datetime.datetime(2024, 10, 1, 2, 19, 9, tzinfo=datetime.timezone.utc)}, {'comment_id': 2386621754, 'issue_id': 2532396951, 'author': 'arkid15r', 'body': ""> hi ! I'm a native Spanish speaker .Do I make a pull request with the translation I already made? Do I have to take any precautions? Thank you!\r\n\r\n@tadash10 if you want to update `es` localization please go ahead and create a regular GitHub PR. Thanks for contributing!"", 'created_at': datetime.datetime(2024, 10, 1, 17, 57, 35, tzinfo=datetime.timezone.utc)}, {'comment_id': 2439577814, 'issue_id': 2532396951, 'author': 'Phantomwise', 'body': ""Hi! Would I need to follow the part of the contribution guidelines about testing code in order to submit a french translation ? I don't know much python and that seems way over my head :sweat_smile:"", 'created_at': datetime.datetime(2024, 10, 26, 13, 9, 43, tzinfo=datetime.timezone.utc)}, {'comment_id': 2439637520, 'issue_id': 2532396951, 'author': 'arkid15r', 'body': ""> Hi! Would I need to follow the part of the contribution guidelines about testing code in order to submit a french translation ? I don't know much python and that seems way over my head 😅\r\n\r\nHi @Phantomwise, it's always a good idea to test functionality and/or write unit tests for your code. For l10n related PRs it's not always required (see similar PR -- https://github.com/OWASP/Nettacker/pull/934). Just making sure unit tests and CI/CD green after your changes should be enough."", 'created_at': datetime.datetime(2024, 10, 26, 16, 15, 18, tzinfo=datetime.timezone.utc)}, {'comment_id': 2439660118, 'issue_id': 2532396951, 'author': 'Phantomwise', 'body': ""Ok, I thought I could do just the translation part, but if it requires testing I'll have to pass, I'm not qualified for that sadly. I'm not a developer, just looking for translation requests."", 'created_at': datetime.datetime(2024, 10, 26, 17, 13, 4, tzinfo=datetime.timezone.utc)}, {'comment_id': 2439668287, 'issue_id': 2532396951, 'author': 'arkid15r', 'body': ""All you need to do is just make sure the app works after your changes. If that's out of your knowledge/qualification -- just go ahead and translate it similar to how it's done in #934 (no test added in that PR). The CI/CD will take care of that.\r\n\r\nThank you for the contribution!"", 'created_at': datetime.datetime(2024, 10, 26, 17, 37, 56, tzinfo=datetime.timezone.utc)}, {'comment_id': 2554133482, 'issue_id': 2532396951, 'author': 'bhagyashree980', 'body': 'Hi @arkid15r @securestep9 ,\r\nI noticed the request for contributors to translate scan-comparison-related messages into various languages. While Hindi is my native language, I would also love to contribute to translations in Bengali, as I have a good understanding of it.\r\nIf given the opportunity, I will ensure the translations are accurate and culturally appropriate. Please let me know if I can proceed or if there are specific guidelines I should follow.\r\nLooking forward to your response!', 'created_at': datetime.datetime(2024, 12, 19, 13, 57, 8, tzinfo=datetime.timezone.utc)}, {'comment_id': 2558591150, 'issue_id': 2532396951, 'author': 'arkid15r', 'body': ""Yes please go ahead. That'd be good l10n contribution!\r\n\r\nThank you!"", 'created_at': datetime.datetime(2024, 12, 22, 20, 37, 41, tzinfo=datetime.timezone.utc)}, {'comment_id': 2585579196, 'issue_id': 2532396951, 'author': 'osamaahmed17', 'body': '@arkid15r, I am a native Urdu speaker. Can I add my part for this issue?', 'created_at': datetime.datetime(2025, 1, 12, 4, 16, 58, tzinfo=datetime.timezone.utc)}, {'comment_id': 2585589885, 'issue_id': 2532396951, 'author': 'arkid15r', 'body': '> @arkid15r, I am a native Urdu speaker. Can I add my part for this issue?\r\n\r\nSure you can @osamaahmed17. Thank you!', 'created_at': datetime.datetime(2025, 1, 12, 5, 7, 53, tzinfo=datetime.timezone.utc)}, {'comment_id': 2618988756, 'issue_id': 2532396951, 'author': 'Soumyaditya25', 'body': 'Hi @arkid15r and @securestep9,  \n\nI noticed the request for contributors to translate scan-comparison-related messages into various languages. I would love to contribute by translating them into Korean. While Korean is not my native language, I have learned it and have a strong understanding of it. Please let me know if I should proceed with this.  \n\nLooking forward to your response!', 'created_at': datetime.datetime(2025, 1, 28, 13, 23, 57, tzinfo=datetime.timezone.utc)}, {'comment_id': 2621582308, 'issue_id': 2532396951, 'author': 'securestep9', 'body': '@Soumyaditya25 if you are confident you can correctly translate to Korean then you are very welcome to contribute!', 'created_at': datetime.datetime(2025, 1, 29, 13, 4, 1, tzinfo=datetime.timezone.utc)}, {'comment_id': 2638348673, 'issue_id': 2532396951, 'author': 'osamaahmed17', 'body': '@arkid15r I raised a PR for the Urdu translation (#994).', 'created_at': datetime.datetime(2025, 2, 6, 0, 39, 43, tzinfo=datetime.timezone.utc)}]","tadash10 on (2024-10-01 02:19:09 UTC): hi ! I'm a native Spanish speaker .Do I make a pull request with the translation I already made? Do I have to take any precautions? Thank you!

arkid15r on (2024-10-01 17:57:35 UTC): @tadash10 if you want to update `es` localization please go ahead and create a regular GitHub PR. Thanks for contributing!

Phantomwise on (2024-10-26 13:09:43 UTC): Hi! Would I need to follow the part of the contribution guidelines about testing code in order to submit a french translation ? I don't know much python and that seems way over my head :sweat_smile:

arkid15r on (2024-10-26 16:15:18 UTC): Hi @Phantomwise, it's always a good idea to test functionality and/or write unit tests for your code. For l10n related PRs it's not always required (see similar PR -- https://github.com/OWASP/Nettacker/pull/934). Just making sure unit tests and CI/CD green after your changes should be enough.

Phantomwise on (2024-10-26 17:13:04 UTC): Ok, I thought I could do just the translation part, but if it requires testing I'll have to pass, I'm not qualified for that sadly. I'm not a developer, just looking for translation requests.

arkid15r on (2024-10-26 17:37:56 UTC): All you need to do is just make sure the app works after your changes. If that's out of your knowledge/qualification -- just go ahead and translate it similar to how it's done in #934 (no test added in that PR). The CI/CD will take care of that.

Thank you for the contribution!

bhagyashree980 on (2024-12-19 13:57:08 UTC): Hi @arkid15r @securestep9 ,
I noticed the request for contributors to translate scan-comparison-related messages into various languages. While Hindi is my native language, I would also love to contribute to translations in Bengali, as I have a good understanding of it.
If given the opportunity, I will ensure the translations are accurate and culturally appropriate. Please let me know if I can proceed or if there are specific guidelines I should follow.
Looking forward to your response!

arkid15r on (2024-12-22 20:37:41 UTC): Yes please go ahead. That'd be good l10n contribution!

Thank you!

osamaahmed17 on (2025-01-12 04:16:58 UTC): @arkid15r, I am a native Urdu speaker. Can I add my part for this issue?

arkid15r on (2025-01-12 05:07:53 UTC): Sure you can @osamaahmed17. Thank you!

Soumyaditya25 on (2025-01-28 13:23:57 UTC): Hi @arkid15r and @securestep9,  

I noticed the request for contributors to translate scan-comparison-related messages into various languages. I would love to contribute by translating them into Korean. While Korean is not my native language, I have learned it and have a strong understanding of it. Please let me know if I should proceed with this.  

Looking forward to your response!

securestep9 (Issue Creator) on (2025-01-29 13:04:01 UTC): @Soumyaditya25 if you are confident you can correctly translate to Korean then you are very welcome to contribute!

osamaahmed17 on (2025-02-06 00:39:43 UTC): @arkid15r I raised a PR for the Urdu translation (#994).

"
2509296658,issue,open,,[Question] Do we have plan to support Terraform,"Do we have plan to support Terraform ?

make terraform provider plugin of this tool

",WestFarmer,2024-09-06 02:14:50+00:00,[],2024-12-25 17:05:52+00:00,,https://github.com/OWASP/Nettacker/issues/893,"[('question', None), ('answered', '')]","[{'comment_id': 2334875780, 'issue_id': 2509296658, 'author': 'securestep9', 'body': 'yes we have this in the long-range plans, but we need volunteers who can help the project and spare some time developing the plugin - are you willing to contribute ?', 'created_at': datetime.datetime(2024, 9, 6, 22, 11, 35, tzinfo=datetime.timezone.utc)}, {'comment_id': 2561953758, 'issue_id': 2509296658, 'author': 'bhagyashree980', 'body': 'Hii @securestep9 ,I wanted to express my interest in contributing to the DevOps project you’re working on. I’m excited about the opportunity to be part of this initiative and am ready to spare time and help develop the plugin.\r\nPlease let me know how I can get started or if there are any specific tasks', 'created_at': datetime.datetime(2024, 12, 25, 17, 5, 51, tzinfo=datetime.timezone.utc)}]","securestep9 on (2024-09-06 22:11:35 UTC): yes we have this in the long-range plans, but we need volunteers who can help the project and spare some time developing the plugin - are you willing to contribute ?

bhagyashree980 on (2024-12-25 17:05:51 UTC): Hii @securestep9 ,I wanted to express my interest in contributing to the DevOps project you’re working on. I’m excited about the opportunity to be part of this initiative and am ready to spare time and help develop the plugin.
Please let me know how I can get started or if there are any specific tasks

"
2279336745,issue,open,,i keep gitting the smae error it making me pissed,"when i runned python nettacker.py -i owasp.org -s -m port_scan it gave me a error saying [2024-05-05 01:30:55][X] file ""/home/kali/Nettacker/.data/results/results_2024_05_05_01_30_53_ggruaklqqz.html"" is not writable! ",aliisawesome160,2024-05-05 05:38:15+00:00,['securestep9'],2024-05-10 07:28:07+00:00,,https://github.com/OWASP/Nettacker/issues/837,"[('support', 'Support-related issues'), ('answered', '')]","[{'comment_id': 2104061259, 'issue_id': 2279336745, 'author': 'securestep9', 'body': 'check and change /home/kali/Nettacker/.data/  and /home/kali/Nettacker/.data/results folder permissions to be writeable. \r\nyou can also use -o <filename> switch to write the scan results into another file, for example:\r\n\r\n```\r\npython nettacker.py -i owasp.org -s -m port_scan -o /tmp/results.html\r\npython nettacker.py -i owasp.org -s -m port_scan -o /tmp/results.csv\r\n```\r\n\r\n^ this will put the scan results in the /tmp/results.html or  /tmp/results.csv  (nettacker also support .txt and .json formats)', 'created_at': datetime.datetime(2024, 5, 10, 7, 20, 40, tzinfo=datetime.timezone.utc)}]","securestep9 (Assginee) on (2024-05-10 07:20:40 UTC): check and change /home/kali/Nettacker/.data/  and /home/kali/Nettacker/.data/results folder permissions to be writeable. 
you can also use -o <filename> switch to write the scan results into another file, for example:

```
python nettacker.py -i owasp.org -s -m port_scan -o /tmp/results.html
python nettacker.py -i owasp.org -s -m port_scan -o /tmp/results.csv
```

^ this will put the scan results in the /tmp/results.html or  /tmp/results.csv  (nettacker also support .txt and .json formats)

"
2247588464,issue,open,,Vulnerbilities in profile not found,when i start --profile vulnerabilities the nettacker give me not found error,djpoker,2024-04-17 07:32:08+00:00,['securestep9'],2024-05-10 07:27:57+00:00,,https://github.com/OWASP/Nettacker/issues/830,"[('support', 'Support-related issues'), ('answered', '')]","[{'comment_id': 2104075177, 'issue_id': 2247588464, 'author': 'securestep9', 'body': 'no such profile! try:  **--profile vuln**\r\n\r\nfor example --profile vuln\r\n\r\n`python3 nettacker.py -i owasp.org --profile vuln`\r\n\r\nnote that it will take a long time to scan a target with all vulnerabilities modules.', 'created_at': datetime.datetime(2024, 5, 10, 7, 27, 50, tzinfo=datetime.timezone.utc)}]","securestep9 (Assginee) on (2024-05-10 07:27:50 UTC): no such profile! try:  **--profile vuln**

for example --profile vuln

`python3 nettacker.py -i owasp.org --profile vuln`

note that it will take a long time to scan a target with all vulnerabilities modules.

"
