id,type,state,state_reason,title,body,author,created_at,assignees,updated_at,closed_at,url,labels,comments_list,comment_thread
2450376940,pull_request,closed,,Fix dataset page cannot correctly load triggered dag runs due to lack of dagId,"## Why
TriggeredDagRuns is used in both `/dags/{dagId}/grid` and `/datasets?uri` while the later can't get `dagId` and fallback to `__DAG_ID__`

## What

Replace `__DAG_ID__` to generate the correct triggered dag runs link for `/datasets?uri`

<!--
 Licensed to the Apache Software Foundation (ASF) under one
 or more contributor license agreements.  See the NOTICE file
 distributed with this work for additional information
 regarding copyright ownership.  The ASF licenses this file
 to you under the Apache License, Version 2.0 (the
 ""License""); you may not use this file except in compliance
 with the License.  You may obtain a copy of the License at

   http://www.apache.org/licenses/LICENSE-2.0

 Unless required by applicable law or agreed to in writing,
 software distributed under the License is distributed on an
 ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
 KIND, either express or implied.  See the License for the
 specific language governing permissions and limitations
 under the License.
 -->

<!--
Thank you for contributing! Please make sure that your code changes
are covered with tests. And in case of new features or big changes
remember to adjust the documentation.

Feel free to ping committers for the review!

In case of an existing issue, reference it using one of the following:

closes: #ISSUE
related: #ISSUE

How to write a good git commit message:
http://chris.beams.io/posts/git-commit/
-->



<!-- Please keep an empty line above the dashes. -->
---
**^ Add meaningful description above**
Read the **[Pull Request Guidelines](https://github.com/apache/airflow/blob/main/contributing-docs/05_pull_requests.rst#pull-request-guidelines)** for more information.
In case of fundamental code changes, an Airflow Improvement Proposal ([AIP](https://cwiki.apache.org/confluence/display/AIRFLOW/Airflow+Improvement+Proposals)) is needed.
In case of a new dependency, check compliance with the [ASF 3rd Party License Policy](https://www.apache.org/legal/resolved.html#category-x).
In case of backwards incompatible changes please leave a note in a newsfragment file, named `{pr_number}.significant.rst` or `{issue_number}.significant.rst`, in [newsfragments](https://github.com/apache/airflow/tree/main/newsfragments).
",Lee-W,2024-08-06 09:16:47+00:00,[],2024-08-09 05:43:24+00:00,2024-08-06 14:33:01+00:00,https://github.com/apache/airflow/pull/41279,"[('area:webserver', 'Webserver related Issues'), ('changelog:skip', 'Changes that should be skipped from the changelog (CI, tests, etc..)'), ('area:UI', 'Related to UI/UX. For Frontend Developers.')]",[],
2450243359,pull_request,closed,,Fix tests/operators/test_bash.py and branch_operator.py for Database Isolation Mode,"Related: https://github.com/apache/airflow/pull/41067

Next one:
Fixing test_bash.py and test_branch_operator.py",jscheffl,2024-08-06 08:14:52+00:00,[],2024-08-06 17:59:38+00:00,2024-08-06 17:59:38+00:00,https://github.com/apache/airflow/pull/41277,"[('area:core-operators', 'Operators, Sensors and hooks within Core Airflow')]",[],
2450187027,pull_request,closed,,"Change inserted airflow version of ""update-migration-references"" command from airflow_version='...' to airflow_version=""...""","## Why
When running `pre-commit run update-migration-references --all-files`, it inserts `airflow_version='...'` instead of `airflow_version=""...""`, which will not pass the ruff check.

## What
Change the format from airflow_verion=**'**...**'** to airflow_version=**""**...**""**

<!--
 Licensed to the Apache Software Foundation (ASF) under one
 or more contributor license agreements.  See the NOTICE file
 distributed with this work for additional information
 regarding copyright ownership.  The ASF licenses this file
 to you under the Apache License, Version 2.0 (the
 ""License""); you may not use this file except in compliance
 with the License.  You may obtain a copy of the License at

   http://www.apache.org/licenses/LICENSE-2.0

 Unless required by applicable law or agreed to in writing,
 software distributed under the License is distributed on an
 ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
 KIND, either express or implied.  See the License for the
 specific language governing permissions and limitations
 under the License.
 -->

<!--
Thank you for contributing! Please make sure that your code changes
are covered with tests. And in case of new features or big changes
remember to adjust the documentation.

Feel free to ping committers for the review!

In case of an existing issue, reference it using one of the following:

closes: #ISSUE
related: #ISSUE

How to write a good git commit message:
http://chris.beams.io/posts/git-commit/
-->



<!-- Please keep an empty line above the dashes. -->
---
**^ Add meaningful description above**
Read the **[Pull Request Guidelines](https://github.com/apache/airflow/blob/main/contributing-docs/05_pull_requests.rst#pull-request-guidelines)** for more information.
In case of fundamental code changes, an Airflow Improvement Proposal ([AIP](https://cwiki.apache.org/confluence/display/AIRFLOW/Airflow+Improvement+Proposals)) is needed.
In case of a new dependency, check compliance with the [ASF 3rd Party License Policy](https://www.apache.org/legal/resolved.html#category-x).
In case of backwards incompatible changes please leave a note in a newsfragment file, named `{pr_number}.significant.rst` or `{issue_number}.significant.rst`, in [newsfragments](https://github.com/apache/airflow/tree/main/newsfragments).
",Lee-W,2024-08-06 07:45:29+00:00,[],2024-08-06 13:51:54+00:00,2024-08-06 13:51:52+00:00,https://github.com/apache/airflow/pull/41275,"[('area:dev-tools', '')]",[],
2450052146,pull_request,closed,,Fix tests/operators/test_email.py for Database Isolation Tests,"Related: https://github.com/apache/airflow/pull/41067

Fix EmailOperator Tests for datbase isolation mode.
Note that the setup method was adding complexity for a single test, with dag_maker made it all to the single test body.",jscheffl,2024-08-06 06:26:56+00:00,[],2024-08-06 06:42:23+00:00,2024-08-06 06:42:23+00:00,https://github.com/apache/airflow/pull/41274,"[('area:core-operators', 'Operators, Sensors and hooks within Core Airflow')]",[],
2449623674,pull_request,closed,,Fix check served logs logic,"**Background:**

In #31101, I added logic to check for served logs when we did not find either local or remote logs.

In #32561, contributor @khrol observed that for a task with multiple tries, if the user was looking at the logs for a non-running try, the UI would show an erroneous and potentially confusing 404 error.  @khrol attempted a fix that would suppress this error message.

In #39177, contributor @kahlstrm reported a bug introduced by #32562 and attempted to fix it.

The bug was reportedly that “non-running task try logs weren’t shown in the UI for running tasks”.  This I think refers to when you are looking at the logs for a failed attempt. The contributor added, “This is due to us storing the logs on the worker with a Persistent Volume”.  I assume this means that we did not check served logs in that case.

One question: why couldn’t the webserver access the PV?  In #39496 same user added more conditions.

**Problem:** 

We can't see logs served from triggerer when task deferred.

**This PR:**

This PR essentially restores the behavior to what it was prior to #32561.  So we undo the enhancement in #32561, the first attempted fix #39177, and the second attempted fix #39496.

This means that while a task is in running state, if you look at logs for prior failed attempts, you may see a ""checked served logs and did not find any"" message.  This can be mildly confusing but it's more important to restore access to logs.
",dstandish,2024-08-05 23:12:42+00:00,[],2024-08-06 09:37:26+00:00,2024-08-06 01:29:51+00:00,https://github.com/apache/airflow/pull/41272,"[('area:logging', ''), ('type:bug-fix', 'Changelog: Bug Fixes')]","[{'comment_id': 2270128034, 'issue_id': 2449623674, 'author': 'kahlstrm', 'body': '> One question: why couldn’t the webserver access the PV? In https://github.com/apache/airflow/pull/39496 same user added more conditions.\r\n\r\nThe PV was only mounted to the worker and not on the webserver, hence the need for the the served logs for old attempts to be fetched from the served logs instead from the webserver. This could have been fixed on our end by adding a mount for the PV to the webserver, but instead trying to fix the bug introduced in upstream was chosen.', 'created_at': datetime.datetime(2024, 8, 6, 0, 8, 21, tzinfo=datetime.timezone.utc)}]","kahlstrm on (2024-08-06 00:08:21 UTC): The PV was only mounted to the worker and not on the webserver, hence the need for the the served logs for old attempts to be fetched from the served logs instead from the webserver. This could have been fixed on our end by adding a mount for the PV to the webserver, but instead trying to fix the bug introduced in upstream was chosen.

"
2449564478,pull_request,closed,,Fix DateTimeOperator tests in Database Isolation Mode,"Related: https://github.com/apache/airflow/pull/41067

Fix DateTimeOperator Tests for datbase isolation mode",jscheffl,2024-08-05 22:12:25+00:00,[],2024-08-06 07:17:09+00:00,2024-08-06 07:17:09+00:00,https://github.com/apache/airflow/pull/41271,"[('area:core-operators', 'Operators, Sensors and hooks within Core Airflow')]",[],
2448815853,pull_request,closed,,fix: return empty data instead of None when OpenLineage on_start method is missing,"<!--
 Licensed to the Apache Software Foundation (ASF) under one
 or more contributor license agreements.  See the NOTICE file
 distributed with this work for additional information
 regarding copyright ownership.  The ASF licenses this file
 to you under the Apache License, Version 2.0 (the
 ""License""); you may not use this file except in compliance
 with the License.  You may obtain a copy of the License at

   http://www.apache.org/licenses/LICENSE-2.0

 Unless required by applicable law or agreed to in writing,
 software distributed under the License is distributed on an
 ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
 KIND, either express or implied.  See the License for the
 specific language governing permissions and limitations
 under the License.
 -->

<!--
Thank you for contributing! Please make sure that your code changes
are covered with tests. And in case of new features or big changes
remember to adjust the documentation.

Feel free to ping committers for the review!

In case of an existing issue, reference it using one of the following:

closes: #ISSUE
related: #ISSUE

How to write a good git commit message:
http://chris.beams.io/posts/git-commit/
-->
When DefaultExtractor is used, so the operator has OpenLineage methods implemented (at least one of: on_start, on_complete) we are logging a WARNING each time there is no on_start method. This happens because we are validating OL metadata returned by extractor, [here](https://github.com/apache/airflow/blob/d6bc1f69a36dd0ee08f02fb6e6f0388342f5fb1b/airflow/providers/openlineage/extractors/manager.py#L105). This validation makes sense and we should keep it, but imho the default extractor should return empty data when there is no on_start method defined, because it means that the on_complete method will be called. 

There is no need to return None ourselves and then log a warning because we found a None 😄 

Some logs of current behaviour:
```
[2024-08-05, 15:04:30 UTC] {listener.py:383} DEBUG - Executing OpenLineage process - on_running - pid 376
[2024-08-05, 15:04:30 UTC] {manager.py:149} DEBUG - extractor for CustomOperator is <class 'airflow.providers.openlineage.extractors.base.DefaultExtractor'>
[2024-08-05, 15:04:30 UTC] {manager.py:98} DEBUG - Using extractor DefaultExtractor task_type=CustomOperator airflow_dag_id=dag task_id=task airflow_run_id=manual__2024-08-05T15:04:29.761674+00:00 
[2024-08-05, 15:04:30 UTC] {base.py:101} DEBUG - Trying to execute `get_openlineage_facets_on_start` for CustomOperator.
[2024-08-05, 15:04:30 UTC] {base.py:112} DEBUG - Operator CustomOperator does not have the get_openlineage_facets_on_start method.
[2024-08-05, 15:04:30 UTC] {manager.py:104} DEBUG - Found task metadata for operation task: None
[2024-08-05, 15:04:30 UTC] {manager.py:267} WARNING - Extractor returns non-valid metadata: None
```

After the change, we would get rid of this warning. We would still get the information that there is no on_start method and metadata found would be `OperatorLineage()`

<!-- Please keep an empty line above the dashes. -->
---
**^ Add meaningful description above**
Read the **[Pull Request Guidelines](https://github.com/apache/airflow/blob/main/contributing-docs/05_pull_requests.rst#pull-request-guidelines)** for more information.
In case of fundamental code changes, an Airflow Improvement Proposal ([AIP](https://cwiki.apache.org/confluence/display/AIRFLOW/Airflow+Improvement+Proposals)) is needed.
In case of a new dependency, check compliance with the [ASF 3rd Party License Policy](https://www.apache.org/legal/resolved.html#category-x).
In case of backwards incompatible changes please leave a note in a newsfragment file, named `{pr_number}.significant.rst` or `{issue_number}.significant.rst`, in [newsfragments](https://github.com/apache/airflow/tree/main/newsfragments).
",kacpermuda,2024-08-05 15:16:40+00:00,[],2024-08-06 07:28:26+00:00,2024-08-05 16:41:03+00:00,https://github.com/apache/airflow/pull/41268,"[('area:providers', ''), ('provider:openlineage', 'AIP-53')]",[],
2448664903,pull_request,closed,,Fix latest botocore tests conflicting dependencies,"The ""latest botocore"" tests have conflicting dependencies for latest yandexcloud provider - their ""requests"" support conflicts with apache.beam and latest botocore.

For now we remove yandexcloud for those tests hoping that soon apache.beam will support higher requests versions.

And issue has been created in apache.beam to remove the limitation as the root cause seems to be already fixed.

See https://github.com/apache/beam/issues/32080

<!--
 Licensed to the Apache Software Foundation (ASF) under one
 or more contributor license agreements.  See the NOTICE file
 distributed with this work for additional information
 regarding copyright ownership.  The ASF licenses this file
 to you under the Apache License, Version 2.0 (the
 ""License""); you may not use this file except in compliance
 with the License.  You may obtain a copy of the License at

   http://www.apache.org/licenses/LICENSE-2.0

 Unless required by applicable law or agreed to in writing,
 software distributed under the License is distributed on an
 ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
 KIND, either express or implied.  See the License for the
 specific language governing permissions and limitations
 under the License.
 -->

<!--
Thank you for contributing! Please make sure that your code changes
are covered with tests. And in case of new features or big changes
remember to adjust the documentation.

Feel free to ping committers for the review!

In case of an existing issue, reference it using one of the following:

closes: #ISSUE
related: #ISSUE

How to write a good git commit message:
http://chris.beams.io/posts/git-commit/
-->



<!-- Please keep an empty line above the dashes. -->
---
**^ Add meaningful description above**
Read the **[Pull Request Guidelines](https://github.com/apache/airflow/blob/main/contributing-docs/05_pull_requests.rst#pull-request-guidelines)** for more information.
In case of fundamental code changes, an Airflow Improvement Proposal ([AIP](https://cwiki.apache.org/confluence/display/AIRFLOW/Airflow+Improvement+Proposals)) is needed.
In case of a new dependency, check compliance with the [ASF 3rd Party License Policy](https://www.apache.org/legal/resolved.html#category-x).
In case of backwards incompatible changes please leave a note in a newsfragment file, named `{pr_number}.significant.rst` or `{issue_number}.significant.rst`, in [newsfragments](https://github.com/apache/airflow/tree/main/newsfragments).
",potiuk,2024-08-05 14:11:12+00:00,[],2024-08-06 09:38:30+00:00,2024-08-05 21:30:10+00:00,https://github.com/apache/airflow/pull/41267,"[('area:providers', ''), ('area:dev-tools', ''), ('changelog:skip', 'Changes that should be skipped from the changelog (CI, tests, etc..)'), ('full tests needed', 'We need to run full set of tests for this PR to merge'), ('provider:yandex', '')]",[],
2448511274,pull_request,closed,,"Disable most irrelevant ""core"" tests in database isolation mode","A lot of the ""core"" tests are not relevant for database isolation mode and they should be skipped.

Related: #41067 

<!--
 Licensed to the Apache Software Foundation (ASF) under one
 or more contributor license agreements.  See the NOTICE file
 distributed with this work for additional information
 regarding copyright ownership.  The ASF licenses this file
 to you under the Apache License, Version 2.0 (the
 ""License""); you may not use this file except in compliance
 with the License.  You may obtain a copy of the License at

   http://www.apache.org/licenses/LICENSE-2.0

 Unless required by applicable law or agreed to in writing,
 software distributed under the License is distributed on an
 ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
 KIND, either express or implied.  See the License for the
 specific language governing permissions and limitations
 under the License.
 -->

<!--
Thank you for contributing! Please make sure that your code changes
are covered with tests. And in case of new features or big changes
remember to adjust the documentation.

Feel free to ping committers for the review!

In case of an existing issue, reference it using one of the following:

closes: #ISSUE
related: #ISSUE

How to write a good git commit message:
http://chris.beams.io/posts/git-commit/
-->



<!-- Please keep an empty line above the dashes. -->
---
**^ Add meaningful description above**
Read the **[Pull Request Guidelines](https://github.com/apache/airflow/blob/main/contributing-docs/05_pull_requests.rst#pull-request-guidelines)** for more information.
In case of fundamental code changes, an Airflow Improvement Proposal ([AIP](https://cwiki.apache.org/confluence/display/AIRFLOW/Airflow+Improvement+Proposals)) is needed.
In case of a new dependency, check compliance with the [ASF 3rd Party License Policy](https://www.apache.org/legal/resolved.html#category-x).
In case of backwards incompatible changes please leave a note in a newsfragment file, named `{pr_number}.significant.rst` or `{issue_number}.significant.rst`, in [newsfragments](https://github.com/apache/airflow/tree/main/newsfragments).
",potiuk,2024-08-05 13:03:36+00:00,[],2024-08-05 17:49:39+00:00,2024-08-05 17:49:30+00:00,https://github.com/apache/airflow/pull/41266,"[('area:Scheduler', 'including HA (high availability) scheduler'), ('area:Executors-core', 'LocalExecutor & SequentialExecutor')]","[{'comment_id': 2269595231, 'issue_id': 2448511274, 'author': 'potiuk', 'body': '> Perhaps we meant to link #41067 in the PR description instead of #41607 (does not exist yet :) ?\r\n\r\nRight :)', 'created_at': datetime.datetime(2024, 8, 5, 17, 49, 39, tzinfo=datetime.timezone.utc)}]","potiuk (Issue Creator) on (2024-08-05 17:49:39 UTC): Right :)

"
2448307647,pull_request,closed,,Add DatasetDagRunQueue to all the consuming DAGs of a dataset alias,"## Why
Ever since https://github.com/apache/airflow/pull/40693, we have been able to schedule a DAG based on DatasetAlias. When a dataset alias is resolved in a producer DAG for the first time, a consumer DAG that depends on that dataset alias will have to wait for the next round of DAG parsing to realize its dependency on the resolved datasets. Consequently, the consumer DAG will need to wait for the second run of the producer DAG to be triggered.

## What
This PR created DDRQ for the consuming dags of dataset alias as well. So after the consumer DAG is updated after DAG parsing, it will have DDRQ which might triggers it.

<!--
 Licensed to the Apache Software Foundation (ASF) under one
 or more contributor license agreements.  See the NOTICE file
 distributed with this work for additional information
 regarding copyright ownership.  The ASF licenses this file
 to you under the Apache License, Version 2.0 (the
 ""License""); you may not use this file except in compliance
 with the License.  You may obtain a copy of the License at

   http://www.apache.org/licenses/LICENSE-2.0

 Unless required by applicable law or agreed to in writing,
 software distributed under the License is distributed on an
 ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
 KIND, either express or implied.  See the License for the
 specific language governing permissions and limitations
 under the License.
 -->

<!--
Thank you for contributing! Please make sure that your code changes
are covered with tests. And in case of new features or big changes
remember to adjust the documentation.

Feel free to ping committers for the review!

In case of an existing issue, reference it using one of the following:

closes: #ISSUE
related: #ISSUE

How to write a good git commit message:
http://chris.beams.io/posts/git-commit/
-->



<!-- Please keep an empty line above the dashes. -->
---
**^ Add meaningful description above**
Read the **[Pull Request Guidelines](https://github.com/apache/airflow/blob/main/contributing-docs/05_pull_requests.rst#pull-request-guidelines)** for more information.
In case of fundamental code changes, an Airflow Improvement Proposal ([AIP](https://cwiki.apache.org/confluence/display/AIRFLOW/Airflow+Improvement+Proposals)) is needed.
In case of a new dependency, check compliance with the [ASF 3rd Party License Policy](https://www.apache.org/legal/resolved.html#category-x).
In case of backwards incompatible changes please leave a note in a newsfragment file, named `{pr_number}.significant.rst` or `{issue_number}.significant.rst`, in [newsfragments](https://github.com/apache/airflow/tree/main/newsfragments).
",Lee-W,2024-08-05 11:23:58+00:00,[],2024-08-09 05:49:46+00:00,2024-08-07 02:15:01+00:00,https://github.com/apache/airflow/pull/41264,"[('type:new-feature', 'Changelog: New Features'), ('area:db-migrations', 'PRs with DB migration')]",[],
